,bitcoin,ethereum,solana,cardano,dogecoin
2025-05-17,103556.03493982446,2544.3870377235667,167.76812404954248,0.7605802350885046,0.2225780495761936
2025-05-18,103212.36483885496,2475.0543933696913,165.9394166641985,0.7424784161936966,0.21488311590610068
2025-05-19,106030.6376831359,2465.3409856139087,171.54067495745267,0.7518394820880364,0.23064675587556407
2025-05-20,105629.41580436694,2526.989643891319,166.7148813421899,0.7426046048097757,0.22450514333500976
2025-05-21,106786.71995834043,2524.2743433146065,168.38572912424627,0.7456441858290309,0.2262524320952927
2025-05-22,109665.86371625263,2558.9502343769486,173.96771434765478,0.772065003489696,0.2341442300716922
2025-05-23,111560.356938144,2657.1674447566115,179.57884486750282,0.8077548195843751,0.24486878935117973
2025-05-24,107216.66856870624,2519.813809045145,174.43566967519817,0.748254247966839,0.2256050681389216
2025-05-25,107831.36374380375,2529.4429842284353,175.9976176396849,0.7460261925160765,0.22526605771065214
2025-05-26,108861.81037744327,2546.6201163370915,175.13203918726265,0.7589761692612583,0.22410051858731672
2025-05-27,109377.71513263129,2562.1729286392238,174.71672204451494,0.7582470752465925,0.2257235127127771
2025-05-28,109068.45694901445,2662.0940568241435,176.57784495904014,0.7578018172885506,0.22613701089072946
2025-05-29,107838.18431100152,2676.2674124507,172.12073410994773,0.7465205662397495,0.22106443772687143
2025-05-30,105745.41660358038,2633.1392065286695,166.83894593726552,0.724272085506191,0.21583653318215457
2025-05-31,104010.91956242644,2524.4762348050726,156.51262963204462,0.6912614352706643,0.19293898362115516
2025-06-01,104687.50742934884,2532.3627853090866,156.86968538083693,0.6863035406713839,0.19295707336811818
2025-06-02,105710.00593822816,2538.3300584367485,157.63092185153255,0.6853559510305921,0.19396166511401375
2025-06-03,105884.74263221149,2609.737253959435,156.97126157615844,0.6900620402912112,0.19561462907109173
2025-06-04,105434.47745144971,2595.4689570062997,155.57609294535118,0.684833771475063,0.1932015824493309
2025-06-05,104812.9182188067,2610.343189828259,153.52933334658826,0.6662352525151268,0.18839829903335972
2025-06-06,101650.7387545425,2421.601103763502,144.54778524030908,0.6279989717216173,0.1718712124430595
